precision,recall,f1-score,support
0.9942106480886398,0.9999663866415343,0.997080211049822,386751.0
0.0,0.0,0.0,2252.0
0.4971053240443199,0.4999831933207671,0.498540105524911,389003.0
0.9884550051257432,0.9941774227962252,0.9913079557322945,389003.0
0.9979997205088931,0.9417402928499216,0.9690541439404018,386751.0
0.06327429949280784,0.6758436944937833,0.11571504599711092,2252.0
0.5306370100008505,0.8087919936718524,0.5423845949687564,389003.0
0.9925884469502618,0.9402009753138151,0.9641140287007551,389003.0
0.9992789289691622,0.9674777828628756,0.9831212542400491,386751.0
0.13612637362637361,0.8801065719360568,0.2357839638353557,2252.0
0.5677026512977679,0.9237921773994662,0.6094526090377024,389003.0
0.9942820020698016,0.9669719770798683,0.9787948002589968,389003.0
0.9942108415616332,1.0,0.9970970178690668,386751.0
0.0,0.0,0.0,2252.0
0.4971054207808166,0.5,0.4985485089345334,389003.0
0.9884551974786909,0.9942108415616332,0.9913246652541997,389003.0
0.997880579831493,0.9860866552381248,0.9919485623547496,386751.0
0.2113439835849333,0.6403197158081705,0.3177961432506887,2252.0
0.6046122817082131,0.8132031855231476,0.6548723528027192,389003.0
0.9933271948582478,0.9840849556430156,0.988045787188948,389003.0
0.9989886867411918,0.9986658082332043,0.9988272213939644,386751.0
0.7829196466133782,0.8263765541740675,0.8040613523439187,2252.0
0.890954166677285,0.9125211812036359,0.9014442868689416,389003.0
0.9977378288342661,0.9976683984442279,0.9976996909196474,389003.0
0.994210424834501,0.9999276019971506,0.9970608178661022,386751.0
0.0,0.0,0.0,2252.0
0.4971052124172505,0.4999638009985753,0.4985304089330511,389003.0
0.9884547831640581,0.9941388626822929,0.9912886748187878,389003.0
0.9976556688285154,0.984811933259384,0.9911921959394839,386751.0
0.1876642234822293,0.6025754884547069,0.2861963513656016,2252.0
0.5926599461553723,0.7936937108570454,0.6386942736525427,389003.0
0.992966500017684,0.9825991059194916,0.9871108632968556,389003.0
0.9989953730195514,0.9976056946200527,0.9983000501963869,386751.0
0.668100358422939,0.827708703374778,0.7393891312971044,2252.0
0.8335478657212452,0.9126571989974153,0.8688445907467457,389003.0
0.997079769353586,0.996622134019532,0.9968011738654559,389003.0
0.9942103504126282,0.9999146737823561,0.9970543533048609,386751.0
0.0,0.0,0.0,2252.0
0.4971051752063141,0.49995733689117805,0.49852717665243046,389003.0
0.9884547091730254,0.9941260093109822,0.9912822476819158,389003.0
0.9990135262437567,0.8719641319608741,0.9311751622563049,386751.0
0.03730777455916947,0.8521314387211367,0.07148577920989402,2252.0
0.5181606504014631,0.8620477853410053,0.5013304707330994,389003.0
0.993446059276166,0.8718493173574496,0.9261982842100674,389003.0
0.9989096745305786,0.8883209093189158,0.9403751274489007,386751.0
0.04164725199139098,0.83348134991119,0.07933052978593014,2252.0
0.5202784632609848,0.8609011296150529,0.5098528286174154,389003.0
0.9933679306994044,0.8880034344208142,0.93539040385053,389003.0
