precision,recall,f1-score,support
0.9984376934770409,0.9798914547085851,0.9890776413969136,386751.0
0.1758160237388724,0.7366785079928952,0.28388090349075973,2252.0
0.5871268586079567,0.8582849813507402,0.6364792724438366,389003.0
0.993675406296093,0.9784834564257859,0.9849951457509555,389003.0
1.0,0.0011712962603845885,0.0023398518610344933,386751.0
0.00579590786256595,1.0,0.01152501778394174,2252.0
0.502897953931283,0.5005856481301922,0.006932434822488117,389003.0
0.9942443949905437,0.006953673879121755,0.002393026241844891,389003.0
0.9983575675207665,0.9838785161512188,0.9910651614222294,386751.0
0.20684391298816945,0.7220248667850799,0.3215663008009493,2252.0
0.602600740254468,0.8529516914681494,0.6563157311115894,389003.0
0.9937753695685466,0.9823626038873736,0.9871893264437868,389003.0
1.0,0.0008325770327678532,0.0016637688498035254,386751.0
0.0057939544253513805,1.0,0.011521155799075545,2252.0
0.5028969772126757,0.500416288516384,0.0065924623244395355,389003.0
0.9942443836817862,0.006616915550779814,0.0017208348246411504,389003.0
0.995879654621176,0.9874130900760437,0.9916283007060376,386751.0
0.12129963898916968,0.2984014209591474,0.17248459958932238,2252.0
0.5585896468051729,0.6429072555175955,0.5820564501476799,389003.0
0.9908165723436531,0.9834242923576425,0.9868861480364829,389003.0
0.9996297667530544,0.013962471978094432,0.027540271271672027,386751.0
0.005865469589495335,0.9991119005328597,0.011662472496002364,2252.0
0.5027476181712749,0.5065371862554771,0.019601371883837197,389003.0
0.9938767077863824,0.019665658105464483,0.02744835217890717,389003.0
0.9988907321498935,0.780000568841451,0.8759785815503984,386751.0
0.022033976230431483,0.8512433392539964,0.042956057991798684,2252.0
0.5104623541901625,0.8156219540477236,0.45946731977109856,389003.0
0.9932355536182867,0.7804130045269574,0.8711560821787897,389003.0
1.0,0.0004886865192333051,0.0009768956427353079,386751.0
0.005791972511277886,1.0,0.011517237499552505,2252.0
0.5028959862556389,0.5002443432596166,0.006247066571143906,389003.0
0.9942443722081717,0.006275015873913569,0.001037915351738972,389003.0
